profile,accuracy,balanced_accuracy,confusion_matrix,n_rows,roc_auc,log_loss,n_features,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_roc_auc_vs_full,delta_log_loss_vs_full
no_counter,0.6146,0.6053950075470917,"[[1153, 1103], [824, 1920]]",5000,0.6380197025618758,0.6606782161682146,66,0.019000000000000017,0.018650621342761964,0.011874231075408859,-0.004257095896333829
no_counter_no_losses,0.603,0.593604615098319,"[[1122, 1134], [851, 1893]]",5000,0.6295802705580712,0.6643701388535764,63,0.007399999999999962,0.006860228893989184,0.0034347990716042665,-0.0005651732109720475
full,0.5956,0.5867443862043298,"[[1119, 1137], [885, 1859]]",5000,0.6261454714864669,0.6649353120645485,73,0.0,0.0,0.0,0.0
