profile,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,n_features_mean,n_runs
no_counter,0.5946774960038018,,0.6293253359451803,,0.6657581254717558,,66.0,1
no_counter_no_losses,0.5926901974337927,,0.6282938425991411,,0.6665591465032257,,63.0,1
full,0.5891044195792111,,0.6239153250816561,,0.6682685371513167,,73.0,1
economy_scouting,0.5863826845811553,,0.6181304034169925,,0.6711192738205592,,28.0,1
economy_only,0.5776558517302458,,0.6082307115832917,,0.6740977236435545,,26.0,1
