profile,accuracy,balanced_accuracy,confusion_matrix,n_rows,roc_auc,log_loss,n_features,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_roc_auc_vs_full,delta_log_loss_vs_full,seed_dir
full,0.5891044195792111,0.5829528621129252,"[[5161, 5770], [3741, 8475]]",23147,0.6239153250816561,0.6682685371513167,73,0.0,0.0,0.0,0.0,seed_42
no_counter,0.5946774960038018,0.5886081230379021,"[[5239, 5692], [3690, 8526]]",23147,0.6293253359451803,0.6657581254717558,66,0.0055730764245907,0.0056552609249769,0.0054100108635241,-0.0025104116795608,seed_42
no_counter_no_losses,0.5926901974337927,0.5862490037675754,"[[5140, 5791], [3637, 8579]]",23147,0.6282938425991411,0.6665591465032257,63,0.0035857778545815,0.0032961416546501,0.0043785175174849,-0.001709390648091,seed_42
economy_only,0.5776558517302458,0.5723229505590135,"[[5206, 5725], [4051, 8165]]",23147,0.6082307115832917,0.6740977236435545,26,-0.0114485678489653,-0.0106299115539116,-0.0156846134983644,0.0058291864922377,seed_42
economy_scouting,0.5863826845811553,0.5815098003868644,"[[5397, 5534], [4040, 8176]]",23147,0.6181304034169925,0.6711192738205592,28,-0.0027217349980558,-0.0014430617260607,-0.0057849216646636,0.0028507366692425,seed_42
