profile,accuracy,balanced_accuracy,confusion_matrix,n_rows,roc_auc,log_loss,n_features,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_roc_auc_vs_full,delta_log_loss_vs_full,seed_dir
full,0.5699670984988691,0.5737829102771752,"[[4356, 5639], [2726, 6731]]",19452,0.6120965685338176,0.6791160153459352,64,0.0,0.0,0.0,0.0,seed_42
no_counter,0.5655459592843923,0.569253089059069,"[[4350, 5645], [2806, 6651]]",19452,0.6091853952777383,0.6797202783358378,58,-0.0044211392144767,-0.0045298212181061,-0.0029111732560792,0.0006042629899025,seed_42
no_counter_no_losses,0.5710980876002467,0.5749574533486475,"[[4352, 5643], [2700, 6757]]",19452,0.6111253522499857,0.67929163279051,55,0.0011309891013776,0.0011745430714722,-0.0009712162838318,0.0001756174445747,seed_42
economy_only,0.5448797038864899,0.5484486400967217,"[[4192, 5803], [3050, 6407]]",19452,0.5767544235266624,0.6931397665593206,26,-0.0250873946123791,-0.0253342701804535,-0.0353421450071551,0.0140237512133853,seed_42
economy_scouting,0.5539276166975118,0.5574408701654412,"[[4302, 5693], [2984, 6473]]",19452,0.5874281065667655,0.6890593914251325,28,-0.0160394818013572,-0.016342040111734,-0.024668461967052,0.0099433760791972,seed_42
