profile,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,n_features_mean,n_runs
full,0.5699670984988691,,0.6120965685338176,,0.6791160153459352,,64.0,1
no_counter_no_losses,0.5710980876002467,,0.6111253522499857,,0.67929163279051,,55.0,1
no_counter,0.5655459592843923,,0.6091853952777383,,0.6797202783358378,,58.0,1
economy_scouting,0.5539276166975118,,0.5874281065667655,,0.6890593914251325,,28.0,1
economy_only,0.5448797038864899,,0.5767544235266624,,0.6931397665593206,,26.0,1
