feature,importance
diff_income,0.04272561
diff_workers,0.033252474
diff_combat_score,0.021690333
diff_raw_army_power,0.020479372
tech_diff,0.018804014
diff_matchup_power,0.018486455
p2_scout,0.017175237
diff_income_60s,0.015372048
p1_raw_army_power,0.015285499
p2_num_unit_types,0.015178509
p1_scout,0.015148101
p1_army_to_worker_ratio,0.015108168
p1_tech_level,0.015104245
diff_raw_army_power_vol_120,0.015020641
p1_army_supply_ratio,0.014947253
p2_raw_army_power,0.014866355
p2_army_entropy,0.014838213
p2_tech_level,0.014790512
army_supply_ratio_diff,0.014605431
p2_army_supply_ratio,0.014352215
p1_army_entropy,0.014227583
p1_combat,0.014124165
p1_workers,0.014052789
p1_num_unit_types,0.0140099125
p2_sq,0.01388091
p2_combat,0.013759722
diff_combat_120s,0.0136183975
diff_combat_vol_120,0.013360548
p2_workers,0.0132871615
counter_advantage_p2,0.013274031
counter_advantage_p1,0.013072545
diff_income_120s,0.01303734
loss_trade_ratio,0.0130266715
diff_raw_army_power_60s,0.01292556
diff_sq,0.012566203
p2_army_to_worker_ratio,0.012508616
delta_workers_p2,0.012362393
p1_sq,0.012357646
delta_combat_p2,0.012357086
counter_advantage_diff_60s,0.012286525
diff_raw_army_power_120s,0.012257823
counter_advantage_diff,0.012253243
income_momentum_15,0.012242474
phase,0.012214272
diff_sq_vol_120,0.012065827
diff_workers_120s,0.01204089
p2_recent_losses,0.011872621
economic_momentum_15,0.011585069
diff_combat_60s,0.011580508
diff_income_vol_120,0.011543333
p1_recent_losses,0.011477646
combat_momentum_15,0.011431732
p2_income_per_worker,0.011348435
diff_workers_60s,0.0113322465
p2_epm,0.011302547
counter_advantage_diff_120s,0.011276184
counter_advantage_vol_120,0.011263728
raw_power_momentum_15,0.011233231
delta_combat_p1,0.011174338
counter_advantage_momentum_15,0.011160639
income_per_worker_diff,0.011043482
diff_workers_vol_120,0.010980867
p1_worker_growth_ratio,0.0108548
diff_sq_120s,0.010838921
p1_income_per_worker,0.010698435
diff_epm,0.010692685
p2_worker_growth_ratio,0.010401355
delta_sq_p2,0.010381336
delta_workers_p1,0.010327783
p1_epm,0.010201399
delta_sq_p1,0.010078143
sq_momentum_15,0.00989522
diff_sq_60s,0.009622291
