profile,acc_delta_combatfix_minus_fixed,auc_delta_combatfix_minus_fixed,logloss_delta_combatfix_minus_fixed
no_counter,0.016666666666666607,0.001662685312909029,-0.005093770338210679
full,0.013733333333333375,-0.0007483115330608747,-0.004636250341138237
no_counter_no_losses,0.012199999999999989,-0.0010108380370562609,-0.0033536614419188426
