profile,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,n_runs,n_features_mean
no_counter,0.5848666666666666,0.007403602726601031,0.5843588061996853,0.0055628535960215875,0.6251679898746813,0.008069362463453066,0.6691060378516857,0.005839116061606967,3,58.0
no_counter_no_losses,0.5832666666666667,0.008570492012325357,0.5827072801421548,0.007386945146846659,0.6228157409648324,0.00750719984949319,0.6697410659909938,0.005834460066266258,3,55.0
full,0.5816,0.009406380813043833,0.5810625044200562,0.006445252494984573,0.6224572314140242,0.007313671309046387,0.6702774054134798,0.006144553023944609,3,64.0
