dataset_name,profile,accuracy_mean,accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std,n_features_mean,n_features_std
real_v3_1_fixed_smoke6000,full,0.5860666666666666,0.0024583192089990043,0.6263333333333333,0.0041356176483487205,0.6664666666666667,0.0008504900548115381,64.0,0.0
real_v3_1_fixed_smoke6000,no_counter,0.5872666666666667,0.008074858099888397,0.6293333333333333,0.0038552993831003244,0.6653,0.0011357816691600518,58.0,0.0
real_v3_1_fixed_smoke6000,no_counter_no_losses,0.5843333333333334,0.003435597958628654,0.6260666666666667,0.004816983841921539,0.6667666666666667,0.0010115993936995686,55.0,0.0
real_v3_2_combatfix_smoke6000,full,0.5851666666666667,0.00786786714004073,0.6240333333333333,0.007429894570808709,0.6673,0.0020420577856661826,73.0,0.0
real_v3_2_combatfix_smoke6000,no_counter,0.5886,0.006915923654870685,0.6277,0.005311308689955872,0.6661666666666667,0.0014468356276140795,66.0,0.0
real_v3_2_combatfix_smoke6000,no_counter_no_losses,0.5856333333333333,0.0010016652800877836,0.6233333333333334,0.0027319101986217633,0.6676333333333333,0.0011372481406154743,63.0,0.0
