accuracy,balanced_accuracy,best_iteration,best_params,best_validation_score,confusion_matrix,dataset_name,feature_columns,log_loss,model_name,n_features,n_rows,profile,roc_auc,seed,source_zip,tag
0.595875,0.5915139020539795,257,"{'colsample_bytree': 0.8, 'learning_rate': 0.03, 'max_depth': 5, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",-0.6550422780292097,"[[1859, 1978], [1255, 2908]]",real_v3_2_combatfix_smoke6000,"['phase', 'diff_combat_score', 'diff_raw_army_power', 'diff_matchup_power', 'diff_workers', 'diff_sq', 'diff_epm', 'diff_income', 'tech_diff', 'army_supply_ratio_diff', 'income_per_worker_diff', 'counter_advantage_p1', 'counter_advantage_p2', 'counter_advantage_diff', 'p1_combat', 'p2_combat', 'p1_raw_army_power', 'p2_raw_army_power', 'p1_workers', 'p2_workers', 'p1_sq', 'p2_sq', 'p1_epm', 'p2_epm', 'p1_scout', 'p2_scout', 'p1_army_entropy', 'p2_army_entropy', 'p1_num_unit_types', 'p2_num_unit_types', 'p1_tech_level', 'p2_tech_level', 'p1_army_supply_ratio', 'p2_army_supply_ratio', 'p1_recent_losses', 'p2_recent_losses', 'p1_worker_growth_ratio', 'p2_worker_growth_ratio', 'p1_income_per_worker', 'p2_income_per_worker', 'p1_army_to_worker_ratio', 'p2_army_to_worker_ratio', 'delta_combat_p1', 'delta_combat_p2', 'delta_workers_p1', 'delta_workers_p2', 'delta_sq_p1', 'delta_sq_p2', 'economic_momentum_15', 'combat_momentum_15', 'sq_momentum_15', 'income_momentum_15', 'raw_power_momentum_15', 'counter_advantage_momentum_15', 'diff_workers_60s', 'diff_combat_60s', 'diff_sq_60s', 'diff_income_60s', 'diff_raw_army_power_60s', 'counter_advantage_diff_60s', 'diff_workers_120s', 'diff_combat_120s', 'diff_sq_120s', 'diff_income_120s', 'diff_raw_army_power_120s', 'counter_advantage_diff_120s', 'diff_workers_vol_120', 'diff_combat_vol_120', 'diff_sq_vol_120', 'diff_income_vol_120', 'diff_raw_army_power_vol_120', 'counter_advantage_vol_120', 'loss_trade_ratio']",0.6594361938656366,xgb,73,8000,full,0.6392897055116087,42,xgb_real_v3_2_combatfix_smoke6000.zip,xgb_smoke6000
0.592625,0.5896669810403798,128,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",-0.6656273081809378,"[[1965, 1886], [1373, 2776]]",real_v3_2_combatfix_smoke6000,"['phase', 'diff_combat_score', 'diff_raw_army_power', 'diff_matchup_power', 'diff_workers', 'diff_sq', 'diff_epm', 'diff_income', 'tech_diff', 'army_supply_ratio_diff', 'income_per_worker_diff', 'counter_advantage_p1', 'counter_advantage_p2', 'counter_advantage_diff', 'p1_combat', 'p2_combat', 'p1_raw_army_power', 'p2_raw_army_power', 'p1_workers', 'p2_workers', 'p1_sq', 'p2_sq', 'p1_epm', 'p2_epm', 'p1_scout', 'p2_scout', 'p1_army_entropy', 'p2_army_entropy', 'p1_num_unit_types', 'p2_num_unit_types', 'p1_tech_level', 'p2_tech_level', 'p1_army_supply_ratio', 'p2_army_supply_ratio', 'p1_recent_losses', 'p2_recent_losses', 'p1_worker_growth_ratio', 'p2_worker_growth_ratio', 'p1_income_per_worker', 'p2_income_per_worker', 'p1_army_to_worker_ratio', 'p2_army_to_worker_ratio', 'delta_combat_p1', 'delta_combat_p2', 'delta_workers_p1', 'delta_workers_p2', 'delta_sq_p1', 'delta_sq_p2', 'economic_momentum_15', 'combat_momentum_15', 'sq_momentum_15', 'income_momentum_15', 'raw_power_momentum_15', 'counter_advantage_momentum_15', 'diff_workers_60s', 'diff_combat_60s', 'diff_sq_60s', 'diff_income_60s', 'diff_raw_army_power_60s', 'counter_advantage_diff_60s', 'diff_workers_120s', 'diff_combat_120s', 'diff_sq_120s', 'diff_income_120s', 'diff_raw_army_power_120s', 'counter_advantage_diff_120s', 'diff_workers_vol_120', 'diff_combat_vol_120', 'diff_sq_vol_120', 'diff_income_vol_120', 'diff_raw_army_power_vol_120', 'counter_advantage_vol_120', 'loss_trade_ratio']",0.6625236685345215,xgb,73,8000,full,0.6333799167206947,43,xgb_real_v3_2_combatfix_smoke6000.zip,xgb_smoke6000
0.59875,0.5960593779747516,218,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 4, 'min_child_weight': 1, 'reg_lambda': 1.0, 'subsample': 0.8}",-0.6586858165275806,"[[1941, 1948], [1262, 2849]]",real_v3_2_combatfix_smoke6000,"['phase', 'diff_combat_score', 'diff_raw_army_power', 'diff_matchup_power', 'diff_workers', 'diff_sq', 'diff_epm', 'diff_income', 'tech_diff', 'army_supply_ratio_diff', 'income_per_worker_diff', 'counter_advantage_p1', 'counter_advantage_p2', 'counter_advantage_diff', 'p1_combat', 'p2_combat', 'p1_raw_army_power', 'p2_raw_army_power', 'p1_workers', 'p2_workers', 'p1_sq', 'p2_sq', 'p1_epm', 'p2_epm', 'p1_scout', 'p2_scout', 'p1_army_entropy', 'p2_army_entropy', 'p1_num_unit_types', 'p2_num_unit_types', 'p1_tech_level', 'p2_tech_level', 'p1_army_supply_ratio', 'p2_army_supply_ratio', 'p1_recent_losses', 'p2_recent_losses', 'p1_worker_growth_ratio', 'p2_worker_growth_ratio', 'p1_income_per_worker', 'p2_income_per_worker', 'p1_army_to_worker_ratio', 'p2_army_to_worker_ratio', 'delta_combat_p1', 'delta_combat_p2', 'delta_workers_p1', 'delta_workers_p2', 'delta_sq_p1', 'delta_sq_p2', 'economic_momentum_15', 'combat_momentum_15', 'sq_momentum_15', 'income_momentum_15', 'raw_power_momentum_15', 'counter_advantage_momentum_15', 'diff_workers_60s', 'diff_combat_60s', 'diff_sq_60s', 'diff_income_60s', 'diff_raw_army_power_60s', 'counter_advantage_diff_60s', 'diff_workers_120s', 'diff_combat_120s', 'diff_sq_120s', 'diff_income_120s', 'diff_raw_army_power_120s', 'counter_advantage_diff_120s', 'diff_workers_vol_120', 'diff_combat_vol_120', 'diff_sq_vol_120', 'diff_income_vol_120', 'diff_raw_army_power_vol_120', 'counter_advantage_vol_120', 'loss_trade_ratio']",0.6620140187873436,xgb,73,8000,full,0.6402744263254222,44,xgb_real_v3_2_combatfix_smoke6000.zip,xgb_smoke6000
