accuracy,balanced_accuracy,best_cv_score,best_params,block11_candidate,confusion_matrix,cv_scoring,dataset_name,log_loss,model_name,n_rows,n_test_replays,n_test_rows,n_train_replays,n_train_rows,roc_auc,seed,source_zip,tag
0.5845157310302282,0.5876696305221448,-0.6663401599579671,"{'class_weight': None, 'max_depth': 20, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",True,"[[4734, 5261], [2821, 6636]]",neg_log_loss,real_v3_1_fixed_smoke3000,0.6714686782655562,rf,19452,502,19452,2005,42000,0.625797153625983,42,rfseed_42.zip,rf_smoke3000
0.602665533903255,0.6005064952100694,-0.6678079462108356,"{'class_weight': None, 'max_depth': 16, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 300}",True,"[[4608, 4606], [2877, 6742]]",neg_log_loss,real_v3_1_fixed_smoke3000,0.6581620102681639,rf,18833,502,18833,2005,42000,0.6457805240528021,43,rfseed_43.zip,rf_smoke3000
0.5935748391114801,0.591917944843758,-0.6678099036091004,"{'class_weight': 'balanced_subsample', 'max_depth': 24, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 4, 'n_estimators': 700}",True,"[[4968, 4409], [3422, 6469]]",neg_log_loss,real_v3_1_fixed_smoke3000,0.6601509098929342,rf,19268,502,19268,2005,42000,0.6398244113476328,44,rfseed_44.zip,rf_smoke3000
