model_name,dataset_name,cv_scoring,device,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,accuracy_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,balanced_accuracy_count,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,roc_auc_count,log_loss_mean,log_loss_std,log_loss_min,log_loss_max,log_loss_count
logreg,real_v3_1_fixed_smoke200,neg_log_loss,,0.5826210826210826,,0.5826210826210826,0.5826210826210826,1,0.5782722797645854,,0.5782722797645854,0.5782722797645854,1,0.6059754336382129,,0.6059754336382129,0.6059754336382129,1,0.6916851713371948,,0.6916851713371948,0.6916851713371948,1
logreg,real_v3_1_fixed_smoke500,neg_log_loss,,0.5821899381221415,,0.5821899381221415,0.5821899381221415,1,0.5833666934735686,,0.5833666934735686,0.5833666934735686,1,0.6197021226552375,,0.6197021226552375,0.6197021226552375,1,0.6715058282564561,,0.6715058282564561,0.6715058282564561,1
rf,real_v3_1_fixed_smoke200,neg_log_loss,,0.512584407612032,,0.512584407612032,0.512584407612032,1,0.49613505244089934,,0.49613505244089934,0.49613505244089934,1,0.5051481893047965,,0.5051481893047965,0.5051481893047965,1,0.7242830918751975,,0.7242830918751975,0.7242830918751975,1
rf,real_v3_1_fixed_smoke500,neg_log_loss,,0.612,,0.612,0.612,1,0.6035573754991308,,0.6035573754991308,0.6035573754991308,1,0.6375782789895919,,0.6375782789895919,0.6375782789895919,1,0.6610902314031778,,0.6610902314031778,0.6610902314031778,1
xgb,real_v3_1_fixed_smoke200,neg_log_loss,cpu,0.573,,0.573,0.573,1,0.5282809334129178,,0.5282809334129178,0.5282809334129178,1,0.529990376767812,,0.529990376767812,0.529990376767812,1,0.6856112560315787,,0.6856112560315787,0.6856112560315787,1
xgb,real_v3_1_fixed_smoke500,neg_log_loss,cpu,0.576,,0.576,0.576,1,0.5677545112699924,,0.5677545112699924,0.5677545112699924,1,0.5899235575209654,,0.5899235575209654,0.5899235575209654,1,0.6772957703598853,,0.6772957703598853,0.6772957703598853,1
