profile,accuracy,balanced_accuracy,confusion_matrix,n_rows,roc_auc,log_loss,n_features,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_roc_auc_vs_full,delta_log_loss_vs_full
full,0.5948,0.5793005904737976,"[[982, 1233], [793, 1992]]",5000,0.6152774254207682,0.6650997993044231,73,0.0,0.0,0.0,0.0
no_counter,0.5942,0.5792701954602008,"[[993, 1222], [807, 1978]]",5000,0.6142921406600176,0.6657523444275001,66,-0.0006000000000000449,-3.039501359680674e-05,-0.0009852847607506598,0.0006525451230769974
no_counter_no_losses,0.5926,0.5774643263857087,"[[985, 1230], [807, 1978]]",5000,0.6125198276805363,0.6674618797174546,63,-0.0021999999999999797,-0.0018362640880889014,-0.0027575977402319873,0.002362080413031542
