profile,accuracy,balanced_accuracy,confusion_matrix,n_rows,roc_auc,log_loss,n_features,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_roc_auc_vs_full,delta_log_loss_vs_full
no_counter_no_losses,0.584625,0.5818796756674683,"[[1957, 1894], [1429, 2720]]",8000,0.6240817023671408,0.666660929428065,63,0.006249999999999978,0.006230707996764728,0.0031111293864692913,-0.0013172164804270414
no_counter,0.5875,0.5845301971817269,"[[1944, 1907], [1393, 2756]]",8000,0.6241410972812964,0.6670968284757353,66,0.00912500000000005,0.008881229511023325,0.0031705243006249217,-0.0008813174327567674
full,0.578375,0.5756489676707036,"[[1935, 1916], [1457, 2692]]",8000,0.6209705729806715,0.667978145908492,73,0.0,0.0,0.0,0.0
