dataset_name,model_name,seed,method,test_accuracy,test_balanced_accuracy,test_roc_auc,test_log_loss,test_brier_score,test_ece_15,test_mce_15,val_log_loss,val_brier_score,val_ece_15
real_v3_1_fixed,xgb_full,42,uncalibrated,0.6201657535856384,0.6161010574537045,0.6665526875734427,0.6451140170178645,0.2272886132397189,0.02066260899641299,0.03281583679893951,0.647233810240004,0.22824733748801804,0.004315134539254492
real_v3_1_fixed,xgb_full,42,platt,0.6202664816255268,0.6154962186122499,0.6665526875734427,0.6449204157981736,0.22713578220557384,0.017840595769408694,0.0749180609685167,0.6472754141415704,0.228272249717555,0.006764970497108746
real_v3_1_fixed,xgb_full,42,isotonic,0.6185485089452095,0.6164097481356134,0.6663642436553423,0.645463139802422,0.22728602954451427,0.01849703292927185,0.03150458128859197,0.646565430785205,0.22800844384030589,4.6301544389553166e-17
