epoch,train_loss,val_loss
1,0.642323836057231,0.635371744632721
2,0.6359837180605507,0.6337798833847046
3,0.6337592268267591,0.6322382688522339
4,0.6327546716483449,0.6327478885650635
5,0.6313199501754775,0.6311551928520203
6,0.6305860085154391,0.6324694752693176
7,0.6296301430746606,0.6313650012016296
8,0.6289920721506581,0.6310524940490723
9,0.6282861455274461,0.6311867237091064
10,0.6275736846983593,0.6315023899078369
11,0.6272560806816565,0.6311090588569641
12,0.6265591533459396,0.6306831240653992
13,0.6263593331232814,0.6315029859542847
14,0.6257854908197825,0.630692720413208
15,0.6252703948968633,0.6303130984306335
16,0.6248972625634237,0.6317043304443359
17,0.6243427552703031,0.6310327053070068
18,0.623986838647267,0.6318199634552002
19,0.6239530306472881,0.6313038468360901
20,0.6231536719557849,0.6320663690567017
21,0.621634246199496,0.6315008401870728
22,0.6212391142025523,0.6311164498329163
23,0.6211154005200925,0.6319811940193176
24,0.6208119549811046,0.6323204040527344
25,0.6201048018469166,0.6318964958190918
26,0.619775235279394,0.6318061351776123
27,0.6195528886631971,0.6318634748458862
