model,dataset_path,rows,n_features,n_replays_total,n_replays_train,n_replays_val,n_replays_test,best_params,cv_accuracy,best_iteration,test_accuracy,test_balanced_accuracy,test_auc,test_logloss,path,dataset,accuracy,balanced_accuracy,auc,logloss,device,amp,best_epoch,selection_metric,validation_logloss
XGBoost,starcraft_full_dataset_v3_1_fixed.csv,892047,64,23241,14873,3719,4649,"{'learning_rate': 0.05, 'max_depth': 6}",0.6065541012403792,488.0,0.6193319492554519,0.615447290491411,0.6664887274496327,0.6451409213983648,xgb_clean_v3_1_fixed_summary.json,,,,,,,,,,
random_forest,,892047,64,23241,14873,3719,4649,,,,,,,,rf_clean_v3_1_summary.json,starcraft_full_dataset_v3_1_fixed.csv,0.6179945047258238,0.6153030730278135,0.6643305461274751,0.6486852919924878,,,,,
MLP_PyTorch,starcraft_full_dataset_v3_1_fixed.csv,892047,64,23241,14873,3719,4649,"{'hidden_dims': [512, 256], 'dropout': 0.2, 'lr': 0.0005, 'weight_decay': 0.001, 'batch_size': 4096}",,,0.6115982741929166,0.6124419885568746,0.662624119739248,0.6483039798919593,mlp_torch_gpu_v3_1_summary.json,,,,,,cuda,True,6.0,validation_logloss,0.646874620288554
