artifact_role,model,dataset_path,rows,n_features,n_replays_total,n_replays_train,n_replays_val,n_replays_test,cv_accuracy,test_accuracy,test_balanced_accuracy,test_auc,test_logloss,best_params,notes
main_frozen_summary,XGBoost,starcraft_full_dataset_v3_1_fixed.csv,892047.0,64.0,23241.0,14873.0,3719.0,4649.0,0.6065541012403792,0.6193319492554519,0.615447290491411,0.6664887274496327,0.6451409213983648,"{""learning_rate"": 0.05, ""max_depth"": 6}",
aligned_benchmark_summary,Random Forest,starcraft_full_dataset_v3_1_fixed.csv,892047.0,64.0,23241.0,14873.0,3719.0,4649.0,0.6063,0.618,0.6153,0.6643,0.6487,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 300}",
export_preserved_summary_used_in_tests_1_to_4,Random Forest,starcraft_full_dataset_v3_1_fixed.csv,892047.0,64.0,23241.0,14873.0,3719.0,4649.0,0.6061236021328648,0.6185037409274814,0.6144469308829136,0.6641953845275458,0.6483285479067915,"{""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 10, ""n_estimators"": 300}",
main_frozen_summary,MLP PyTorch,starcraft_full_dataset_v3_1_fixed.csv,,,,,,,,0.611598,0.612442,0.662624,0.648304,"{""hidden_dims"": [512, 256], ""dropout"": 0.2, ""lr"": 0.0005, ""weight_decay"": 0.001, ""batch_size"": 4096}",Aligned GPU MLP benchmark summary used for final cross-model comparison.
