source_dataset,model_family,profile,n_runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std
v3_1_fixed,rf,no_counter,3,0.6132878487059376,0.005467707786186844,0.6111344669112594,0.005129028505611437,0.6605422732630978,0.0055092349080286184,0.6503454948523947,0.0022840304233654545
v3_1_fixed,xgb,full,3,0.6127921335954135,0.005423418905442177,0.6093280485733755,0.004913278256866685,0.6600580706984399,0.004798990768123897,0.6484374312430871,0.0025007488795459076
v3_2_combatfix,rf,no_counter,3,0.612830226331811,0.005155763178697619,0.6107092493007462,0.004782219664189779,0.6602976904229175,0.005666613232736378,0.6503586278975405,0.002412084298015603
v3_2_combatfix,xgb,full,3,0.6127845099890682,0.0056006704048214935,0.6093355945822705,0.005098667166184196,0.6596862941306669,0.004827688473024193,0.6485737262420805,0.002448973453596674
