study_mode,family,accuracy,balanced_accuracy,confusion_matrix,n_rows,roc_auc,log_loss,n_features,left_out_features,delta_accuracy_vs_full,delta_roc_auc_vs_full,delta_log_loss_vs_full
leave_one_family_out,economy,0.5356775652889163,0.5400178041860096,"[[3829, 6166], [2866, 6591]]",19452,0.5599842852588397,0.7082205932015897,38,26.0,-0.0242134484885873,-0.0354622589924548,0.0173102223230796
leave_one_family_out,composition,0.5563438206868189,0.5598062751371456,"[[4344, 5651], [2979, 6478]]",19452,0.587402636498539,0.6960732023104186,54,10.0,-0.0035471930906847,-0.0080439077527555,0.0051628314319085
leave_one_family_out,scouting,0.5518198642813078,0.5555264467382258,"[[4213, 5782], [2936, 6521]]",19452,0.585400107265222,0.6941210899989841,62,2.0,-0.0080711494961958,-0.0100464369860725,0.0032107191204741
leave_one_family_out,delta_15s,0.5608163684968127,0.564386121367758,"[[4351, 5644], [2899, 6558]]",19452,0.5950147855994191,0.6941075371902719,58,6.0,0.0009253547193091,-0.0004317586518753,0.0031971663117618
leave_one_family_out,combat,0.5573719925971622,0.5609576068567221,"[[4311, 5684], [2926, 6531]]",19452,0.5895070036868916,0.6937259913416084,55,9.0,-0.0025190211803414,-0.0059395405644029,0.0028156204630983
leave_one_family_out,other,0.553979025293029,0.5576246513867064,"[[4256, 5739], [2937, 6520]]",19452,0.591751860915125,0.693154181454655,62,2.0,-0.0059119884844746,-0.0036946833361695,0.0022438105761449
leave_one_family_out,counter,0.5630783466995681,0.5664591574628384,"[[4440, 5555], [2944, 6513]]",19452,0.600796591591767,0.6891464683981211,58,6.0,0.0031873329220645,0.0053500473404725,-0.0017639024803889
leave_one_family_out,losses,0.557886078552334,0.56138386418545,"[[4347, 5648], [2952, 6505]]",19452,0.5999228174941864,0.6888659023126082,61,3.0,-0.0020049352251696,0.0044762732428919,-0.0020444685659017
