feature,mean,std,count
diff_income,0.0024203145693362997,0.001178236094220533,3
p2_scout,0.0015632629326439,0.0006413227607264047,3
diff_workers,0.0014579509606327003,0.0009308644423928037,3
diff_combat_score,0.001405414225864,0.00021374053640302895,3
diff_combat_vol_120,0.0009857046109661668,0.0004415097376567062,3
diff_income_vol_120,0.0009684658749017668,0.000487534571131277,3
p1_scout,0.0008742187052119553,0.0007135770882825464,3
army_supply_ratio_diff,0.0008560471441954333,0.000396126010289029,3
diff_sq_vol_120,0.0008459969879940667,0.00031533407213194073,3
diff_epm,0.0008065356281007,0.0006448160097476769,3
diff_sq_120s,0.0008011815856824965,0.0010667124176913245,3
counter_advantage_diff_120s,0.0007711919596262001,0.0004025981187480243,3
income_momentum_15,0.0006939403773940597,0.0008020175655633274,3
delta_sq_p2,0.0006858116187437001,8.528859324060496e-05,3
p2_combat,0.0005947953780959667,0.00041161400575928376,3
diff_sq_60s,0.0005941503271254,0.00038104658821481416,3
diff_workers_60s,0.0005884647630471333,0.00024012366993058203,3
p2_sq,0.0005794894800465951,0.0007592616225386697,3
counter_advantage_vol_120,0.0005782319277653333,0.00043884994732453224,3
p2_num_unit_types,0.0005778780100684667,0.00042866693271389653,3
p1_combat,0.0005746889066131334,0.00016428298407062934,3
p2_tech_level,0.0005631790895002667,0.00045743520595994486,3
p2_income_per_worker,0.0005496658112229333,0.00024189339840036554,3
counter_advantage_diff,0.0005424962681045667,0.00042358495467723637,3
p1_worker_growth_ratio,0.0005404260279740666,0.00018464282755731285,3
income_per_worker_diff,0.0005394080225618334,0.00015676909597934414,3
diff_sq,0.0005088061376405704,0.0004660843911960017,3
delta_combat_p2,0.0005009380350552667,0.000493828606923308,3
p2_army_to_worker_ratio,0.000496959517483837,0.00045519819478324116,3
diff_workers_120s,0.0004958235395059666,0.0002482366656126281,3
p2_workers,0.0004931443998025999,0.000499981011069875,3
p1_workers,0.0004883818998586333,0.0003228304401704545,3
diff_workers_vol_120,0.00047617184363263327,0.0005544707827999111,3
delta_sq_p1,0.0004621219685779666,0.0003011468547264269,3
economic_momentum_15,0.00044898524648006666,0.0002545696321210176,3
p1_epm,0.0004409251888874333,0.00033750439792339944,3
diff_income_120s,0.0004278495715665333,0.0002936453385851675,3
p1_army_supply_ratio,0.00042649668520216666,7.294623393213286e-05,3
delta_combat_p1,0.00039846716543706667,0.0001663519449462596,3
p1_army_entropy,0.0003468131064163333,0.00013132331164360781,3
p2_recent_losses,0.0003463678491792,0.00011930734335188156,3
p1_income_per_worker,0.0003389718793019333,0.00018697828953047522,3
p2_worker_growth_ratio,0.0003374915019995,0.0003184046628457935,3
p1_num_unit_types,0.0003104419141572951,0.0002094305031088744,3
combat_momentum_15,0.00030336371057916665,8.853635045851005e-05,3
counter_advantage_diff_60s,0.0002941410419833333,0.0001689182446057915,3
p1_army_to_worker_ratio,0.00029318774308593007,0.00020793284273795944,3
counter_advantage_p2,0.0002862636634712,4.1007973987171096e-05,3
sq_momentum_15,0.00026336599635396667,0.0002551108633439973,3
diff_combat_120s,0.0002607039713036333,0.00023039813587836714,3
diff_combat_60s,0.00025150033945253334,0.00010265850397151576,3
p2_army_entropy,0.00024566656804546664,0.00022450312257592744,3
p1_sq,0.00024137004172939674,0.0001705595170605947,3
delta_workers_p1,0.00023706231739485176,0.00022752550161792646,3
counter_advantage_p1,0.00021051317493215175,0.00018628352679965143,3
p1_tech_level,0.0002078340352288188,0.00026947481958668266,3
p1_recent_losses,0.0001910879058177,8.315366452426773e-05,3
tech_diff,0.00018340080266672566,9.64922240792342e-05,3
phase,0.00017386036777175618,8.3685898206757e-05,3
loss_trade_ratio,0.00016670034302578184,0.0001545327204363775,3
p2_army_supply_ratio,0.00016493835082203331,5.945509809182942e-05,3
delta_workers_p2,0.00015664234809815967,9.077287498514988e-05,3
p2_epm,0.00013943384679692206,7.996645723537314e-05,3
diff_income_60s,0.00012201603338985176,9.142036113587725e-05,3
