feature,mean,std,count
diff_income,0.03727864237802223,0.004945979240992271,3
p2_scout,0.0336795066658532,0.0008199085895336042,3
p1_scout,0.032555298062697496,0.0007143826888343839,3
diff_workers,0.03165830913984203,0.0061171030702473084,3
diff_combat_score,0.021889553374125865,0.0017817165007684354,3
diff_sq_vol_120,0.0204950481652343,0.0014475208458269151,3
diff_sq,0.020380050172800167,0.0007469393445404671,3
diff_income_vol_120,0.020368033069337033,0.0009316418909252745,3
p2_sq,0.020292743655869232,0.0007600740628674983,3
army_supply_ratio_diff,0.019581047411527098,0.0010002845142039508,3
p2_income_per_worker,0.01917579548269087,0.0008868932533598132,3
p2_workers,0.019096369050359732,0.0012361207000547835,3
p1_income_per_worker,0.018941482130619566,0.0007106580092407321,3
diff_income_120s,0.018718956923678934,0.0008012297922304186,3
p1_sq,0.018572762189832434,0.0008988363690330887,3
income_per_worker_diff,0.018346476086713966,0.0008112070406630816,3
p2_army_entropy,0.018243407800980497,0.0007000671967623937,3
diff_combat_120s,0.018156401592633434,0.0006863414165783691,3
diff_workers_vol_120,0.018018330959094702,0.0006779538504276172,3
p2_combat,0.017748364425479134,0.0012690441607433357,3
counter_advantage_diff,0.017744875907836834,0.00091016188592347,3
p1_combat,0.017496213952083,4.373839935638939e-05,3
diff_combat_vol_120,0.0174349698950098,0.00034801270566905875,3
diff_income_60s,0.017386470532035434,0.0009417702911538307,3
p1_workers,0.017273021111917267,0.0012310768105269496,3
diff_sq_120s,0.016892220641790235,0.001222383584620113,3
p1_army_entropy,0.016716002456439397,0.0012829200269070284,3
counter_advantage_vol_120,0.01661599704324297,0.0004049795853176962,3
p1_army_to_worker_ratio,0.0165957206878269,0.00025711751546413715,3
diff_sq_60s,0.0165810898030615,0.001334364967978888,3
p1_army_supply_ratio,0.0162885640900305,0.00011851125000475665,3
delta_sq_p2,0.016172960364997734,0.0012716825946235378,3
diff_combat_60s,0.0161488750742452,0.00034303396456750727,3
p2_army_supply_ratio,0.0161241409441327,0.0010373231014186833,3
counter_advantage_p1,0.0160647772296685,0.0008979085637701777,3
delta_sq_p1,0.015855549744424834,0.0013728275537848544,3
p2_army_to_worker_ratio,0.0157751339532983,0.0005537952576088749,3
income_momentum_15,0.015684706385457336,0.0013002786220795003,3
diff_epm,0.0155753848686866,0.0012939526367231817,3
sq_momentum_15,0.0155496597248097,0.0013843228805590158,3
counter_advantage_diff_120s,0.015462728351063599,0.00032047993522681535,3
p1_epm,0.015446395375943932,0.0012706977016711848,3
counter_advantage_p2,0.015407421394117465,0.0006509148455537008,3
p2_epm,0.015326780231288833,0.0014637669361297677,3
counter_advantage_diff_60s,0.014847651557881666,0.00023252542481197837,3
combat_momentum_15,0.013471054634728233,0.0008218624843095275,3
delta_combat_p2,0.0131442315210169,0.00034815269241367583,3
delta_combat_p1,0.012983138077896366,0.0005374700140934976,3
diff_workers_120s,0.012589622407092965,0.0004869282476432553,3
p2_worker_growth_ratio,0.0106157459136405,0.0006767594270842525,3
p1_worker_growth_ratio,0.010570802839287366,0.0007394399148929754,3
diff_workers_60s,0.010009368142610634,0.0002869446500510156,3
loss_trade_ratio,0.008957688802921434,0.0002466851846174832,3
p1_recent_losses,0.007532373493619166,0.000348916464030716,3
p2_recent_losses,0.007124157374524033,0.0002828798397741541,3
p2_num_unit_types,0.0068339722453585675,0.0003207659533367215,3
economic_momentum_15,0.006423264000819467,0.00040014058373060644,3
p1_num_unit_types,0.005893741604141134,0.0006507412944481369,3
tech_diff,0.005510314241095767,0.000492097458744882,3
delta_workers_p1,0.0048114169378452335,0.00019069422426056993,3
delta_workers_p2,0.004788423188562467,0.0003127516300393878,3
p2_tech_level,0.0040029339204928,0.0006135847697986463,3
p1_tech_level,0.0037313585907381,0.00023425601158434147,3
phase,0.0013425020049237,8.684669977852252e-05,3
