epoch,train_loss,val_loss
1,0.6351622902257468,0.6240407228469849
2,0.6284708403665105,0.6211063265800476
3,0.6264744398307629,0.6207922697067261
4,0.6251336077101342,0.6213796734809875
5,0.624050924000347,0.6195908188819885
6,0.6230454352487372,0.6190639138221741
7,0.6221003504636894,0.6199032664299011
8,0.621382061672467,0.6193864345550537
9,0.6206382856467292,0.6187459826469421
10,0.6195563668098074,0.6195874214172363
11,0.6189505729730839,0.6186371445655823
12,0.6180451814098598,0.6186754107475281
13,0.6177549150682264,0.6190629005432129
14,0.6170356033309814,0.6178506016731262
15,0.6164155669750706,0.6181688904762268
16,0.6160026458108724,0.6189334392547607
17,0.6155044536864032,0.6184592247009277
18,0.615193236205313,0.619013786315918
19,0.6145591828237725,0.6182895302772522
20,0.6129267601877131,0.6189041137695312
21,0.6124627765361553,0.6190184950828552
22,0.6116783413835751,0.6182252764701843
23,0.6116200042454573,0.6188021898269653
24,0.6112539193002127,0.6187404990196228
25,0.6105834236068111,0.6193673014640808
26,0.6099560915569251,0.6189218759536743
