dataset_name,seed,model_name,accuracy,balanced_accuracy,roc_auc,log_loss,n_rows,n_replays,n_train_rows,n_test_rows,n_train_replays,n_test_replays
real_v3_1_fixed_smoke3000,42,logreg,0.5791178285009253,0.5801061522619193,0.619815607285508,0.6682398714291691,95480,2508,76028,19452,2006,502
real_v3_1_fixed_smoke3000,43,logreg,0.6030372218977327,0.6026844841872341,0.648247728357068,0.6548542667409037,95480,2508,76647,18833,2006,502
