profile,accuracy,balanced_accuracy,confusion_matrix,n_rows,roc_auc,log_loss,n_features,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_roc_auc_vs_full,delta_log_loss_vs_full
full,0.59375,0.5912221530092017,"[[1945, 1944], [1306, 2805]]",8000,0.6324676646309949,0.6649863135544584,73,0.0,0.0,0.0,0.0
no_counter,0.596,0.593376687135137,"[[1940, 1949], [1283, 2828]]",8000,0.6338227706473216,0.664508758898126,66,0.0022499999999999742,0.002154534125935359,0.0013551060163267126,-0.0004775546563323685
no_counter_no_losses,0.586625,0.5839701622730854,"[[1899, 1990], [1317, 2794]]",8000,0.6255924953209281,0.6673036249324453,63,-0.007125000000000048,-0.007251990736116265,-0.00687516931006682,0.0023173113779869636
