profile,accuracy,balanced_accuracy,confusion_matrix,n_rows,roc_auc,log_loss,n_features,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_roc_auc_vs_full,delta_log_loss_vs_full
full,0.5956,0.5877514665862051,"[[1134, 1152], [870, 1844]]",5000,0.6237038627356547,0.666888353848053,73,0.0,0.0,0.0,0.0
no_counter,0.5958,0.5885220730975319,"[[1151, 1135], [886, 1828]]",5000,0.6281801823408772,0.66560624194471,66,0.00019999999999997797,0.0007706065113267657,0.004476319605222545,-0.0012821119033430417
no_counter_no_losses,0.5908,0.5832954557909443,"[[1133, 1153], [893, 1821]]",5000,0.6233146105447209,0.6673301950761938,63,-0.0048000000000000265,-0.004456010795260812,-0.0003892521909337754,0.00044184122814083793
