profile,accuracy,balanced_accuracy,confusion_matrix,n_rows,roc_auc,log_loss,n_features,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_roc_auc_vs_full,delta_log_loss_vs_full
no_counter,0.5785,0.5735436550857483,"[[1734, 2103], [1269, 2894]]",8000,0.626352597635411,0.6661172729269221,58,-0.007750000000000035,-0.007946570777436546,0.0021338559010897207,-0.000715196700562748
full,0.58625,0.5814902258631849,"[[1783, 2054], [1256, 2907]]",8000,0.6242187417343212,0.6668324696274849,64,0.0,0.0,0.0,0.0
no_counter_no_losses,0.582375,0.577328158239767,"[[1740, 2097], [1244, 2919]]",8000,0.6256138709335521,0.6673861868372988,55,-0.003875000000000073,-0.004162067623417864,0.0013951291992309045,0.0005537172098138976
