feature,importance
diff_income,0.04131383
diff_workers,0.039065212
tech_diff,0.023173464
diff_raw_army_power,0.021362493
p2_scout,0.019885331
diff_combat_score,0.01784771
p2_workers,0.016828552
diff_raw_army_power_120s,0.0165826
diff_combat_120s,0.01580569
diff_matchup_power,0.015676405
p1_army_to_worker_ratio,0.015657693
loss_trade_ratio,0.0156177925
p2_army_entropy,0.0155616505
p1_workers,0.015457051
p2_sq,0.015452673
army_supply_ratio_diff,0.015289814
p1_num_unit_types,0.015133184
p1_scout,0.015087654
p1_army_supply_ratio,0.015050515
p2_num_unit_types,0.014885694
p2_army_to_worker_ratio,0.014646172
diff_raw_army_power_60s,0.014542962
diff_raw_army_power_vol_120,0.014472341
p1_raw_army_power,0.014375141
counter_advantage_p1,0.014348789
p1_combat,0.014274713
diff_income_60s,0.0141830435
p1_army_entropy,0.014146139
phase,0.014024807
p2_raw_army_power,0.0135517
p2_army_supply_ratio,0.013404148
p2_combat,0.013346568
diff_sq,0.013170781
diff_combat_60s,0.013099548
p2_epm,0.012715532
diff_income_vol_120,0.012229276
p2_worker_growth_ratio,0.012024408
p1_sq,0.011998068
counter_advantage_diff,0.01194866
counter_advantage_vol_120,0.011938111
delta_workers_p2,0.011865194
counter_advantage_diff_120s,0.011766226
p2_income_per_worker,0.011727834
diff_income_120s,0.011715241
counter_advantage_p2,0.011618069
p2_recent_losses,0.011613906
p1_tech_level,0.01156531
diff_combat_vol_120,0.011312054
diff_workers_120s,0.011282783
p1_recent_losses,0.01122823
diff_workers_60s,0.011137337
delta_combat_p2,0.011083541
p1_income_per_worker,0.010904937
diff_workers_vol_120,0.010869743
income_momentum_15,0.010768946
diff_epm,0.010700567
income_per_worker_diff,0.010619459
delta_workers_p1,0.010587546
combat_momentum_15,0.010544026
diff_sq_60s,0.010509243
counter_advantage_diff_60s,0.010480236
sq_momentum_15,0.010477468
delta_combat_p1,0.010380882
p1_worker_growth_ratio,0.010214057
counter_advantage_momentum_15,0.010148525
delta_sq_p1,0.009989554
p1_epm,0.00986862
delta_sq_p2,0.00985752
diff_sq_vol_120,0.009521015
p2_tech_level,0.009466103
diff_sq_120s,0.009452461
raw_power_momentum_15,0.009428152
economic_momentum_15,0.008119341
