feature,importance_mean,importance_std
diff_income,0.024265916210906402,0.0010619656985079717
p2_scout,0.011708171826049996,0.0017256942600754055
diff_workers,0.010380714702915073,0.0004513354218658727
p1_scout,0.006823129612913481,0.0012478096957468376
diff_combat_score,0.0046726490734349535,0.0011681622683587523
diff_sq,0.0033982902352254207,0.0009557691286571357
p1_combat,0.002920405670896853,0.0007433759889555192
p2_combat,0.002601815961344456,0.0010619656985079162
p1_army_to_worker_ratio,0.0025487176764190655,5.309828492539026e-05
income_momentum_15,0.0022832262517921142,0.0015929485477619298
loss_trade_ratio,0.0022566771093293636,0.0003451388520150922
p2_army_entropy,0.0022566771093293636,0.000504433706791263
p2_sq,0.002203578824404029,7.964742738808539e-05
delta_combat_p2,0.0020442839696278026,0.0003451388520150922
p1_army_supply_ratio,0.0020442839696278026,0.000504433706791263
p2_epm,0.0018053416874634909,0.00015929485477617078
tech_diff,0.00164604683268732,0.0002654914246269513
p1_num_unit_types,0.001619497690224625,7.964742738808539e-05
p1_sq,0.0015929485477619298,5.309828492539026e-05
p2_army_to_worker_ratio,0.0014336536929857036,0.0005309828492539581
p1_epm,0.0013805554080603133,0.00031858970955239707
p2_tech_level,0.0013805554080603133,0.0002654914246270068
delta_sq_p1,0.0013540062655976737,0.0007168268464928795
p1_army_entropy,0.0013540062655976182,0.00023894228216431168
sq_momentum_15,0.0011947114108214474,0.0005575319917166532
diff_combat_120s,0.0011416131258960571,0.0003451388520150922
diff_income_60s,0.0010885148409706669,0.00013274571231353116
counter_advantage_diff_60s,0.0010619656985079717,0.00021239313970161655
counter_advantage_diff_120s,0.0010619656985079717,0.0006902777040301289
p2_num_unit_types,0.001035416556045221,0.0009823182711198308
p1_tech_level,0.001008867413582526,5.309828492539026e-05
diff_sq_120s,0.0009557691286571912,0.0020177348271651074
diff_epm,0.0008761217012690503,0.0008761217012690503
counter_advantage_vol_120,0.0008495725588063552,0.0010619656985079162
p1_worker_growth_ratio,0.0008495725588063552,0.0006902777040301844
income_per_worker_diff,0.0007699251314182698,0.0006637285615674893
diff_sq_vol_120,0.0007168268464928795,0.0011416131258960016
p1_recent_losses,0.0006902777040301844,0.00015929485477617078
p2_workers,0.0006637285615674893,0.00013274571231347565
delta_combat_p1,0.000610630276642099,0.00023894228216425617
phase,0.0005840811341794039,0.00021239313970156104
diff_workers_vol_120,0.0005575319917167088,0.00013274571231347565
delta_workers_p2,0.0005309828492540136,0.00021239313970156104
diff_sq_60s,0.00047788456432862336,0.001008867413582526
p2_recent_losses,0.00047788456432856785,0.00021239313970161655
delta_workers_p1,0.00047788456432856785,0.00047788456432856785
delta_sq_p2,0.0004513354218658727,0.0006106302766420435
combat_momentum_15,0.0004247862794031776,0.00021239313970161655
diff_workers_60s,0.00037168799447778733,0.00031858970955239707
p1_workers,0.0002654914246270068,0.0005840811341793484
counter_advantage_p2,0.00023894228216431168,0.00023894228216431168
diff_income_vol_120,0.00021239313970161655,0.0014867519779110938
economic_momentum_15,0.00018584399723892142,0.00018584399723892142
counter_advantage_p1,0.00013274571231353116,0.00039823713694048246
p2_income_per_worker,7.964742738808539e-05,0.00082302341634366
p2_worker_growth_ratio,5.309828492539026e-05,0.00010619656985078052
diff_income_120s,-0.00023894228216425617,0.0007168268464928795
army_supply_ratio_diff,-0.00029204056708970194,0.000504433706791263
counter_advantage_diff,-0.0003716879944777318,0.001008867413582526
diff_workers_120s,-0.0005309828492539581,0.00047788456432856785
diff_combat_60s,-0.0005575319917166532,0.00023894228216431168
p2_army_supply_ratio,-0.000716826846492824,0.00013274571231353116
diff_combat_vol_120,-0.0014602028354483987,0.0005575319917166532
p1_income_per_worker,-0.00172569426007535,0.00029204056708970194
