feature,importance
diff_income,0.04180135917747285
diff_workers,0.03714168544784909
p2_scout,0.03411101135035629
p1_scout,0.03181896069145378
diff_combat_score,0.023898699710724162
diff_sq,0.02097623918842507
army_supply_ratio_diff,0.02073179219774155
p2_workers,0.02021640571748012
p2_sq,0.019523203340372854
diff_income_vol_120,0.019310099727741382
p2_combat,0.019123346788168384
p2_army_entropy,0.01905069024528869
diff_sq_vol_120,0.018935050714088988
counter_advantage_diff,0.018795605601127967
diff_combat_120s,0.0187130015484429
p1_workers,0.01864839365390658
p1_army_entropy,0.018186259444690215
p2_income_per_worker,0.01815488325454795
p1_income_per_worker,0.018133360579820762
diff_income_120s,0.017825730845975853
diff_combat_vol_120,0.017825340624836553
p1_sq,0.017727137121093684
p1_combat,0.0175298630643208
income_per_worker_diff,0.01741870489432504
p2_army_supply_ratio,0.017318827970095183
diff_workers_vol_120,0.017236560530412004
counter_advantage_p1,0.017075695438725603
counter_advantage_vol_120,0.017047045599151177
p1_army_to_worker_ratio,0.0168863359121881
p2_army_to_worker_ratio,0.016412882573808064
p1_army_supply_ratio,0.01639451897575945
diff_income_60s,0.016299314446795214
counter_advantage_p2,0.01604942612384102
diff_combat_60s,0.015907855166730583
diff_sq_120s,0.015529712616113531
counter_advantage_diff_120s,0.015273970473975025
diff_sq_60s,0.015113738852926136
counter_advantage_diff_60s,0.014770028056963145
delta_sq_p2,0.014748664709624822
delta_sq_p1,0.014355424057419054
income_momentum_15,0.014201058503203056
diff_epm,0.014090793193318941
sq_momentum_15,0.014063028252283614
p1_epm,0.014000474861130437
p2_epm,0.01363702374295689
diff_workers_120s,0.012836996851448549
delta_combat_p2,0.012747425613271154
combat_momentum_15,0.012523477798828972
delta_combat_p1,0.012362521947718119
p2_worker_growth_ratio,0.009923041587190774
diff_workers_60s,0.009789170455919734
p1_worker_growth_ratio,0.009724913381896936
loss_trade_ratio,0.009137023362804343
p1_recent_losses,0.007374784675472448
p2_recent_losses,0.007095182196805373
p2_num_unit_types,0.00692052911611025
p1_num_unit_types,0.00662708427320612
tech_diff,0.0060492198406756304
economic_momentum_15,0.005973924095962747
delta_workers_p1,0.004627266735851147
p2_tech_level,0.004526238207498328
delta_workers_p2,0.004517006382172245
p1_tech_level,0.0038595607144356735
phase,0.0013754277750590367
