feature,importance
diff_income,0.042032625664473404
diff_workers,0.035278608459674184
p2_scout,0.03095115528594769
p1_scout,0.029427957591485955
diff_sq,0.022973161582157925
diff_sq_vol_120,0.02073686342905737
diff_income_vol_120,0.02052606404302137
diff_income_120s,0.020217589093023923
p2_sq,0.019926086402107
diff_income_60s,0.01923740308516571
income_per_worker_diff,0.019195221836840297
p1_sq,0.019103390051948953
p1_income_per_worker,0.018631620431556445
p2_income_per_worker,0.01857684749143171
army_supply_ratio_diff,0.0181785947042259
diff_sq_120s,0.01811307488307883
diff_workers_vol_120,0.018026115249418523
diff_sq_60s,0.01789239593249508
delta_sq_p2,0.017086049509524536
income_momentum_15,0.017011592491846268
delta_sq_p1,0.016905138063675443
diff_raw_army_power,0.01686792593822562
sq_momentum_15,0.016667252856367904
diff_combat_vol_120,0.016406286808069017
diff_combat_score,0.01626450634239362
diff_raw_army_power_vol_120,0.016251571776048645
diff_matchup_power,0.016214124277988864
p2_army_entropy,0.016099629516709447
p2_workers,0.01599546859350042
diff_epm,0.01595064270793797
p2_epm,0.015914415826746853
p1_army_entropy,0.015892527995900664
p1_workers,0.01549481877765829
diff_combat_120s,0.015470370346717551
p1_epm,0.015366448908828281
p2_combat,0.014919397741808341
diff_combat_60s,0.014844451894293441
p1_combat,0.014721503139540407
p2_army_to_worker_ratio,0.014687581687607547
p2_army_supply_ratio,0.014675678341870996
p1_army_supply_ratio,0.014641367477048134
p1_army_to_worker_ratio,0.014638146745519307
diff_raw_army_power_120s,0.014494255637011278
p2_raw_army_power,0.013685655776179442
p1_raw_army_power,0.01367874713322428
diff_raw_army_power_60s,0.01351271576220952
diff_workers_120s,0.012795541972435185
delta_combat_p2,0.012525094638829386
combat_momentum_15,0.012424602774068741
delta_combat_p1,0.012384181864170781
raw_power_momentum_15,0.010963980831481692
p2_worker_growth_ratio,0.01085735255155679
p1_worker_growth_ratio,0.010799888734076996
diff_workers_60s,0.010479289209665982
loss_trade_ratio,0.009448558568095606
p1_recent_losses,0.007552568913895504
p2_recent_losses,0.00717863546575003
economic_momentum_15,0.006678458528741705
p2_num_unit_types,0.005525336388498698
p1_num_unit_types,0.005204425373547824
delta_workers_p1,0.004912730888185885
delta_workers_p2,0.00489575779570038
tech_diff,0.0048393898576911685
p2_tech_level,0.003065593787875558
p1_tech_level,0.0029540470914203466
phase,0.0011315174727494777
