feature,importance_mean,importance_std
diff_income,0.017221879498252102,0.0030331071355130246
p2_scout,0.01177256837343199,0.0021077524162039785
diff_combat_score,0.007274316265679648,0.001465144972239374
p1_scout,0.006477483035163434,5.1408595517166145e-05
army_supply_ratio_diff,0.00457536500102812,0.0012852148879292646
diff_workers,0.004241209130166512,0.0022876825005140877
diff_income_vol_120,0.003932757557063571,0.0008996504215504908
diff_combat_120s,0.0036757145794776847,0.00043697306189594
p2_sq,0.0026218383713756954,0.0002056343820687201
p1_army_supply_ratio,0.0025704297758585293,0.0003598601686202185
diff_workers_120s,0.002467612584824197,0.00025704297758588623
p1_combat,0.0024162039893069753,0.0005654945506888831
diff_combat_60s,0.0023647953937898647,0.0003598601686202185
p1_sq,0.0021334567139625338,0.00038556446637877384
p1_epm,0.0021077524162039785,0.0008225375282747693
diff_income_120s,0.0020820481184453676,0.00043697306189594
p2_army_to_worker_ratio,0.001876413736376703,2.5704297758610828e-05
counter_advantage_diff,0.001876413736376703,0.00043697306189594
diff_combat_vol_120,0.0018507094386180922,0.001439440674480763
p2_workers,0.001825005140859537,0.00028274727534444155
p2_income_per_worker,0.0017993008431009816,0.0004626773596545508
p1_army_to_worker_ratio,0.0017478922475838155,0.00041126876413738467
counter_advantage_vol_120,0.0016964836520666493,0.00020563438206866458
income_per_worker_diff,0.0016193707587908723,0.0005911988484474384
diff_sq_60s,0.0015936664610322615,0.000514085955171717
tech_diff,0.00151655356775654,7.711289327577697e-05
counter_advantage_diff_120s,0.0014137363767221522,0.0012081019946534877
counter_advantage_p1,0.001362327781204986,2.5704297758555317e-05
diff_income_60s,0.001362327781204986,2.5704297758555317e-05
p1_army_entropy,0.0012852148879292646,0.0003084515731030524
diff_sq,0.0012081019946534877,2.5704297758610828e-05
counter_advantage_diff_60s,0.0011052848036191554,0.0004883816574131616
sq_momentum_15,0.0009767633148262123,0.00010281719103433229
p1_workers,0.0008996504215504908,0.00012852148879294312
p2_combat,0.0008996504215504908,0.00043697306189594
diff_sq_vol_120,0.00087394612379188,0.0005140859551716614
delta_sq_p2,0.00087394612379188,0.0006683117417232154
p2_army_supply_ratio,0.0007968332305161585,0.00012852148879294312
p1_worker_growth_ratio,0.0007968332305161585,0.0003341558708616077
diff_workers_vol_120,0.0007454246349989924,0.00017993008431010926
delta_combat_p1,0.0007454246349989924,0.00038556446637877384
income_momentum_15,0.0007454246349989369,0.00043697306189594
p1_num_unit_types,0.0006426074439646601,0.0004883816574131061
diff_sq_120s,0.0005654945506888831,0.0003598601686202185
p2_epm,0.0005654945506888276,5.1408595517166145e-05
loss_trade_ratio,0.0005397902529302723,7.711289327572146e-05
p2_num_unit_types,0.0005397902529302723,0.00012852148879294312
p2_worker_growth_ratio,0.0005140859551716614,0.00020563438206866458
diff_epm,0.0004883816574131061,0.0014137363767222078
delta_combat_p2,0.00043697306189594,0.0010538762081020447
delta_workers_p2,0.00020563438206866458,0.00020563438206866458
p2_tech_level,0.00017993008431005375,0.0003341558708616077
p1_tech_level,0.00015422578655149843,5.1408595517166145e-05
phase,7.711289327572146e-05,0.0002313386798272754
delta_workers_p1,2.5704297758555317e-05,2.5704297758555317e-05
economic_momentum_15,-2.5704297758610828e-05,0.0006940160394818262
diff_workers_60s,-0.00015422578655155395,0.0006683117417232154
p2_recent_losses,-0.00038556446637877384,0.00038556446637877384
p1_recent_losses,-0.00043697306189594,0.00012852148879294312
p1_income_per_worker,-0.0004883816574131061,0.00017993008431010926
combat_momentum_15,-0.000514085955171717,0.0003084515731030524
counter_advantage_p2,-0.000514085955171717,0.0003084515731030524
p2_army_entropy,-0.0008225375282747693,0.00010281719103433229
delta_sq_p1,-0.0008996504215504908,0.0005397902529302723
