feature,importance
diff_income,0.03803746364452584
p2_scout,0.03419355078538406
p1_scout,0.03324548861541632
diff_workers,0.03277257588321744
diff_sq_vol_120,0.020755313725213023
diff_income_vol_120,0.02072806366796001
diff_combat_score,0.02050155884790453
p2_sq,0.020312043762637757
p2_income_per_worker,0.01975613227847259
diff_sq,0.019542198888597973
diff_income_120s,0.019374327143343334
p2_workers,0.019302596619453168
p1_income_per_worker,0.01922209463568354
army_supply_ratio_diff,0.019091750201292324
income_per_worker_diff,0.018698614988321052
p1_sq,0.01847442647213064
diff_workers_vol_120,0.01837389378765058
diff_income_60s,0.01795240961317844
p2_army_entropy,0.017803498530675133
p2_combat,0.01749966785284924
p1_combat,0.017446772674601235
diff_combat_120s,0.017389520089284415
diff_combat_vol_120,0.017322373047930526
diff_sq_120s,0.01725425601807438
counter_advantage_diff,0.017200275876889843
diff_sq_60s,0.01690771397961538
delta_sq_p2,0.016575732957681867
p1_army_to_worker_ratio,0.016397815449411237
p1_workers,0.016274187140507396
counter_advantage_vol_120,0.01624344945058305
income_momentum_15,0.016226990315186773
diff_epm,0.016171721485508717
delta_sq_p1,0.016161909213115465
p1_army_supply_ratio,0.016160586060366217
p1_army_entropy,0.016137851944253847
p2_epm,0.01613765993266884
diff_combat_60s,0.01599716387896546
p1_epm,0.015953350893441035
sq_momentum_15,0.01578425649512955
p2_army_supply_ratio,0.015601506193922145
counter_advantage_p2,0.015424889975455975
p2_army_to_worker_ratio,0.015415679966744119
counter_advantage_p1,0.015359886257477372
counter_advantage_diff_120s,0.015281453091815262
counter_advantage_diff_60s,0.014663867222879335
combat_momentum_15,0.013899770354004722
delta_combat_p1,0.013294300702274903
delta_combat_p2,0.013286785563365829
diff_workers_120s,0.012903203445326118
p1_worker_growth_ratio,0.010893126212676383
p2_worker_growth_ratio,0.010648850795575275
diff_workers_60s,0.009905056243979722
loss_trade_ratio,0.008676363188870965
p1_recent_losses,0.007290049509933732
p2_recent_losses,0.006856880286644594
economic_momentum_15,0.006554752816874983
p2_num_unit_types,0.006478809652138414
p1_num_unit_types,0.005385223064502188
tech_diff,0.00508483107580194
delta_workers_p1,0.0047989415032364735
delta_workers_p2,0.004717822915258114
p1_tech_level,0.003460983341039876
p2_tech_level,0.003327638528368627
phase,0.0014080712447107487
