profile,accuracy,balanced_accuracy,confusion_matrix,n_rows,roc_auc,log_loss,n_features,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_roc_auc_vs_full,delta_log_loss_vs_full
full,0.5835,0.5807764260897261,"[[1955, 1896], [1436, 2713]]",8000,0.6237265220322273,0.6671317542525157,64,0.0,0.0,0.0,0.0
no_counter,0.588875,0.5859956994076594,"[[1959, 1892], [1397, 2752]]",8000,0.6278541869252454,0.6658007534137321,58,0.005375000000000019,0.0052192733179332595,0.004127664893018079,-0.0013310008387835692
no_counter_no_losses,0.58225,0.5794221093906614,"[[1939, 1912], [1430, 2719]]",8000,0.6215426793139656,0.6672945372100746,55,-0.0012499999999999734,-0.001354316699064717,-0.002183842718261775,0.0001627829575588935
