profile,accuracy,balanced_accuracy,confusion_matrix,n_rows,roc_auc,log_loss,n_features,delta_accuracy_vs_full,delta_balanced_accuracy_vs_full,delta_roc_auc_vs_full,delta_log_loss_vs_full
no_counter,0.594375,0.5917539062424259,"[[1934, 1955], [1290, 2821]]",8000,0.6336904187280717,0.6640201152425178,58,0.006000000000000005,0.006101823785679028,0.0025961867260406724,-0.0014857117367848005
full,0.588375,0.5856520824567468,"[[1896, 1993], [1300, 2811]]",8000,0.6310942320020311,0.6655058269793026,64,0.0,0.0,0.0,0.0
no_counter_no_losses,0.58825,0.5857595714800128,"[[1929, 1960], [1334, 2777]]",8000,0.6310656474901704,0.665576835211272,55,-0.00012499999999993072,0.00010748902326596088,-2.8584511860718642e-05,7.100823196937167e-05
