params,fold,score,scoring
"{'n_estimators': 150, 'max_depth': 12, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None}",1,-0.7153829681030888,neg_log_loss
"{'n_estimators': 150, 'max_depth': 12, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': None}",2,-0.6890595735740486,neg_log_loss
"{'n_estimators': 200, 'max_depth': 16, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced'}",1,-0.7090550666985174,neg_log_loss
"{'n_estimators': 200, 'max_depth': 16, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'class_weight': 'balanced'}",2,-0.6863634939256748,neg_log_loss
