model_name,n_runs,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,roc_auc_mean,roc_auc_std,log_loss_mean,log_loss_std
logreg,3,0.5978611465765896,0.026279821430962278,0.5948030711511395,0.022527930863313537,0.6415047103269429,0.02863978717009577,0.6620356771985689,0.02367048688901569
xgb,3,0.5963117484221548,0.03452406054757905,0.5897773017725183,0.020435414979588243,0.6289211707634487,0.023997398647393232,0.6675557796914466,0.018236326760473258
rf,3,0.593200639561463,0.038990418563262096,0.5870537312357711,0.02187957309697994,0.6282519449426428,0.029106168522387774,0.6671294613144815,0.01528744040408822
