,phase,diff_combat_score,diff_workers,diff_sq,diff_epm,diff_income,tech_diff,army_supply_ratio_diff,income_per_worker_diff,counter_advantage_p1,counter_advantage_p2,counter_advantage_diff,p1_combat,p1_workers,p1_sq,p1_epm,p1_scout,p1_army_entropy,p1_num_unit_types,p1_tech_level,p1_army_supply_ratio,p1_recent_losses,p1_worker_growth_ratio,p1_income_per_worker,p1_army_to_worker_ratio,p2_combat,p2_workers,p2_sq,p2_epm,p2_scout,p2_army_entropy,p2_num_unit_types,p2_tech_level,p2_army_supply_ratio,p2_recent_losses,p2_worker_growth_ratio,p2_income_per_worker,p2_army_to_worker_ratio,delta_combat_p1,delta_combat_p2,delta_workers_p1,delta_workers_p2,delta_sq_p1,delta_sq_p2,economic_momentum_15,combat_momentum_15,sq_momentum_15,income_momentum_15,diff_workers_60s,diff_combat_60s,diff_sq_60s,diff_income_60s,counter_advantage_diff_60s,diff_workers_120s,diff_combat_120s,diff_sq_120s,diff_income_120s,counter_advantage_diff_120s,diff_workers_vol_120,diff_combat_vol_120,diff_sq_vol_120,diff_income_vol_120,counter_advantage_vol_120,loss_trade_ratio
phase,1.0,0.023472707902356654,-0.00786534504349964,-0.003105327566987093,-0.02842942991984022,-0.019082768927952264,0.009605989176029131,0.005680753204526396,-0.005896351103689229,0.12919243887458576,0.09802911730029047,0.021270752798468993,0.652064561276579,0.7384623020860451,0.4138835282282734,0.07216464789085031,0.6542044469695077,0.6244985516169355,0.6601739171081403,0.7076618731165504,0.6817277426213066,0.2085970833240655,-0.19468493417595464,-0.02753838648372377,0.6211713974808181,0.6539668814976244,0.7386735320943969,0.42171400338614423,0.1286633472387942,0.64884740923791,0.6283804999401382,0.6636333638816564,0.7058366370762702,0.6803945404067252,0.20248652286024155,-0.18254075909684803,-0.018537689832095312,0.42383285072131294,0.06472570086715715,0.0524460024592039,-0.06472003702936723,-0.060579056299733036,-0.018768456825661334,-0.013671922472194304,-0.0031497313492045817,0.007675336266076367,-0.0039021717546720925,-0.002880088578328069,-0.004574041526544297,0.011791762394463072,-0.008580471585145818,-0.004057620220361427,0.015185496472429722,-0.004181584633989599,0.015099969572385318,-0.013120748409878483,-0.00548808201990878,0.019843170439517287,0.44039705437022464,0.63747100148277,-0.24732638906176352,0.5290233707530649,-0.07667507014869589,0.17847248937090104
diff_combat_score,0.023472707902356654,1.0,-0.08204448432252197,0.037262462592612705,-0.011358651050701316,-0.06474864240309687,0.03822356678785227,0.7333443365244194,0.00018361668028139667,0.06588985366392802,-0.0887355073310741,0.10694118727175765,0.3492278288897718,-0.002976484957860744,0.019803373853637615,-0.010581268121294457,0.01853066764497897,0.09159383375566045,0.16263165393956786,0.03246557095766859,0.33126891009812204,0.006283674577562725,0.007596466071870554,0.015252783811615576,0.37958260846057895,-0.27597885566943187,0.02858886399372561,-0.014797221532768504,0.002872006457367442,0.051210481059024975,-0.012416494544525588,-0.07763974115274881,0.0004629093318004922,-0.2932079855334135,-0.0604057256955911,-0.008839148714232348,0.014008099607363546,-0.23843482920005946,0.1411084815487843,-0.14223907360673227,0.004969396795561875,-0.005668871248189189,-0.011039943163551046,0.01205194043454701,0.008163228506352156,0.24074868368297425,-0.01679694914864076,-0.010983726677353995,-0.0300982015574244,0.4607141091666357,-0.03609315189743181,-0.0377686352435101,-0.010444455460116827,-0.05819537461399027,0.622106477113676,-0.03404338603655163,-0.05231280873288141,-0.005272452848926675,-0.0064499364727142,0.004259989672623388,0.0016043024862369341,0.009485761438672977,-0.02320906980385821,-0.07936456957848191
diff_workers,-0.00786534504349964,-0.08204448432252197,1.0,0.2995184891979091,0.08512138726628911,0.7048197300966851,-0.2320131973671032,-0.3028180701320829,-0.18646264289273048,0.006215019581438429,0.03457598706921475,-0.019659428196321115,-0.03498241988999531,0.18310749712254862,0.13636084454934996,0.05055938679431694,0.0529237774264108,-0.06630577932364966,-0.12498236201873691,-0.10477257184615951,-0.13268135188342128,0.08773845676955969,0.12123499546896199,-0.10870388202792043,-0.16676475803639246,0.01614935676006756,-0.20218652639287513,-0.14203303171829143,-0.056908462640861315,-0.07134312313780466,0.060125729741681185,0.10559398780842075,0.09030065856814576,0.1252035534944053,-0.08105046069632346,-0.11308191627713762,0.124868860841772,0.1178810961293536,-0.03293503937533462,0.023976228319329242,0.163882543271325,-0.14909518894346893,0.008289125788093278,-0.0031287643046352996,0.24015425683024366,-0.048139002344652855,0.00833911960469513,0.10983867135644709,0.4714359722931365,-0.09389004937513255,0.05460580085874922,0.247918711000678,-0.020670818625998462,0.6265241044516909,-0.11367981573074704,0.09312027959663968,0.374713747820407,-0.02875863998126086,0.004968774953885499,-0.00024099795948324422,-0.008309957966970583,-0.008532937117544555,0.012967887076304219,-0.16262706615113437
diff_sq,-0.003105327566987093,0.037262462592612705,0.2995184891979091,1.0,0.004078552160898101,0.46871220762696525,-0.0327834417764243,0.023526421895379235,0.2388106315524578,0.038428379405808406,-0.018592053012841152,0.039401765239091446,-0.0060422590407579555,0.05032869980329639,0.4746055037251709,-0.005907918446414252,0.02776710661934475,-0.0021323892832915956,-0.006004080585126271,-0.018742901826290848,0.010056166512004331,0.025912968888807963,0.017488108053388546,0.16475734730231353,-0.012702823466824975,-0.029829616724471014,-0.06505677912200113,-0.4546356902530296,-0.01298480845254974,-0.050795043912278154,0.011327331708871754,0.00427893396339639,0.008785919392726,-0.009980626235634253,-0.034896009590336084,-0.00793751640990999,-0.13609993263682305,-0.0016773241597946868,0.02053573973704414,-0.023381700688220524,0.027804678103601314,-0.01312401036722853,0.3382125938770668,-0.3283993905885633,0.03140259994251946,0.037377672855819485,0.4851240032020374,0.17914919343575922,0.17723438432481464,0.04120168337587424,0.6251494815450268,0.3287550376750932,0.014313997109548815,0.23651100580190346,0.031060460021060474,0.6586207368690631,0.37962658635073515,0.025104527676834354,0.010087303012596997,-0.007420328075744098,0.016456577628766355,0.006911294188534716,0.015082285289851768,-0.05971208076447957
diff_epm,-0.02842942991984022,-0.011358651050701316,0.08512138726628911,0.004078552160898101,1.0,0.07609204925435174,-0.0959643981064479,0.021144597073830596,-0.005295282714977835,-0.016058093446814522,-0.013934332028745907,-0.0014319252529676704,-0.0158596835834526,0.002903334515731222,-0.0033459763926312,0.7182033437692218,-0.02023380838007014,-0.03471201518731167,-0.05495355844494826,-0.0603465970792486,-0.023692415265672246,0.06667617503849935,0.011539036298059193,-0.0005716236143012283,-0.022052617576488267,-0.009064385539459709,-0.029845101296325102,-0.0071988140769648325,-0.5155739839990551,-0.028184206368556567,-0.006305094488501278,0.006184477062300207,0.020187637103864148,-0.04186955200164147,-0.06726355416254229,0.008448982275313209,0.00589300284705147,-0.026271648869780968,-0.010655942436249184,0.01619483038549008,0.011413692222391351,0.0006693778688841972,-0.0016707883476948218,0.0024917772823987248,0.008241767960882192,-0.022941799355081404,-0.003024022923978853,0.016661644862099204,0.009827403311903475,-0.02407317709088833,-0.002409230872432912,0.01881070066597981,0.0066677135366171765,0.0045741486017843265,-0.01730035946513454,0.013372023471757767,0.018658556598710845,0.003034067352954144,-0.01312057554724097,-0.013552374796804297,0.014341082947432257,-0.014340448702122593,-0.013865844375220092,-0.09929018728435535
diff_income,-0.019082768927952264,-0.06474864240309687,0.7048197300966851,0.46871220762696525,0.07609204925435174,1.0,-0.12731838645000243,-0.17041410180719707,0.4664871894573543,0.03131912096266014,-0.00281786915301724,0.023568804498524908,-0.04556703803267605,0.11978348702152707,0.22124782739594892,0.03912375376784523,0.04327724805373339,-0.05126124048293419,-0.08157364606807326,-0.06642144077908034,-0.08496914960245917,0.0644336708944341,0.025034032145344692,0.318494553094537,-0.11808308547531957,-0.0056767753621932825,-0.15174400494096368,-0.21431321645354928,-0.0583494738613391,-0.07459969992501692,0.03490008173928883,0.052747642530934044,0.040546611202477684,0.06010518311000206,-0.06459889350398576,-0.005115428971021673,-0.26896946026852514,0.0588787095702882,-0.00667304214286709,0.005603617803894982,0.04145704923813514,-0.014356770857585589,0.06267696999460164,-0.05349478941035238,0.042821671008636694,-0.0104046532638121,0.08458809893036408,0.3192927851090832,0.30182962425386767,-0.048717187525518506,0.1990234934157284,0.578719478016867,-0.00755743554083515,0.4370688181654272,-0.08214586709787061,0.25664538945808263,0.6947446993279879,-0.0007293383907680896,0.010589463525401015,-0.010894664976325973,-0.004001240200996102,-0.010968454316235334,0.013744486698333443,-0.10941301306071449
tech_diff,0.009605989176029131,0.03822356678785227,-0.2320131973671032,-0.0327834417764243,-0.0959643981064479,-0.12731838645000243,1.0,0.07295359164017146,0.07249965045968833,0.0011642031568361948,-0.0354173791653462,0.025335488023225973,0.02464750867056799,-0.034029607827742586,-0.01380662263586357,-0.05556742285883851,0.04233138870002692,0.21579932699189425,0.2442156151184339,0.42915291584712156,0.04374496227578257,-0.10409808422163802,-0.0015831902623000996,0.043183292966499455,0.026551719623965464,0.0010407881519100032,0.05533147929360301,0.0166779666009962,0.0659214362494186,-0.02513620628570001,-0.1829897366694696,-0.19718957750289604,-0.4118314857007682,-0.01832274957719194,0.1031188575041776,-0.009592736778734939,-0.04769498242915071,-0.01693881898846242,0.05519694189132584,-0.04885646464801096,-0.01119343565133565,-0.0018200448792674274,8.218030238710958e-05,-0.0018885049352958178,-0.007189609499087925,0.0882509090566803,0.001423202472015921,-0.023324329321191224,-0.045153403415439844,0.13977908776874248,0.010810628689455303,-0.060099416633132015,-0.02101605751947632,-0.09970430447003298,0.1416132213733199,-8.828866924364702e-05,-0.09601028626328972,0.0006420926464228399,0.004557855171462238,-0.0030773584960011977,-0.011900434879064637,0.010412941107654334,-0.021060218382791554,0.2233892578573955
army_supply_ratio_diff,0.005680753204526396,0.7333443365244194,-0.3028180701320829,0.023526421895379235,0.021144597073830596,-0.17041410180719707,0.07295359164017146,1.0,0.11388827289683737,0.13917898045454594,-0.16199746276466484,0.20827168740135668,0.2432553681244453,-0.05160112606556444,0.025956156070594916,0.012022512305213569,-0.03698528007240772,0.08719023440754622,0.18493352182229592,0.037468199612447795,0.4307742205737119,0.05414116820413308,0.0027826514737085604,0.08675652056403385,0.4263603805177557,-0.21556723261601898,0.06505820789099456,0.0042705169550431125,-0.01479725270491231,0.06130784182808555,-0.042581947951354775,-0.14014281049760113,-0.023829881645573096,-0.42088049650778947,-0.07314750103442744,0.009256270985128011,-0.05726995156738497,-0.31388068555168835,0.13254540525538458,-0.1250558762263245,-0.015742687228387606,0.022643845674774784,-0.0101756866891599,0.00863335189624575,-0.029456708500732037,0.21867272608797286,-0.01369575042372559,-0.027625653147770806,-0.14588980321349948,0.3928842759236857,-0.016573977301683675,-0.08853795961503537,0.02379533593551678,-0.21622761435736962,0.513889138896069,-0.03724296831481398,-0.11988917829833592,0.06159135769869726,-0.003582047048687513,-0.005037161569746328,0.017710037021190336,0.009815340605870207,-0.02347322420684624,-0.11949571199974038
income_per_worker_diff,-0.005896351103689229,0.00018361668028139667,-0.18646264289273048,0.2388106315524578,-0.005295282714977835,0.4664871894573543,0.07249965045968833,0.11388827289683737,1.0,0.030244768969599264,-0.033609007916207446,0.044154826135133975,-0.01186899436763365,-0.039301176532710244,0.11606527258722227,-0.007309755339724508,0.007204072824164083,0.014756873536176485,0.0435665996327694,0.02955795882311284,0.04608943868422309,-0.017619335043887924,-0.0972569226800365,0.5931836599379163,0.040676838310391004,-0.012291034082242209,0.032561420625652655,-0.10581496912875604,-0.001587977648753343,-0.00665855912961199,-0.017971247649797097,-0.044588501622933645,-0.03142694184144951,-0.05091937383296868,0.017634100568251532,0.13708045894053875,-0.6601516452678377,-0.017279741809824067,0.019584371927127354,-0.0140936092219947,-0.10651214657755138,0.13017292464829308,0.07884322362992457,-0.07095362894075315,-0.18162105035680837,0.028482425755250517,0.10904794560562198,0.30018748884031404,-0.10377487289377772,0.031634103839372284,0.17868141769122076,0.46033319858545785,0.01699153313148344,-0.12360665422229618,0.014754320844279968,0.2061018397252488,0.45129903352632644,0.04018492757513217,0.0017972069009333385,-0.008041035947373201,-0.0026781575033157858,-0.003862140923088567,0.0024818154253510452,0.049607209495899314
counter_advantage_p1,0.12919243887458576,0.06588985366392802,0.006215019581438429,0.038428379405808406,-0.016058093446814522,0.03131912096266014,0.0011642031568361948,0.13917898045454594,0.030244768969599264,1.0,-0.04584224294416461,0.7219700866734011,0.0667080801079219,0.08181405598551447,0.07491249807337966,-0.017666415364429394,0.0953090184746563,0.17263916049157862,0.1862407177409071,0.18567212816927614,0.17121998637746214,0.024155547446576126,0.037840484873232286,0.05368275958946123,0.10035738167802515,0.026638380509770798,0.07911204727212316,0.039877977519881175,0.000726454076858932,0.09451043620443059,0.2414746495972853,0.180687219836672,0.18633891538811592,0.05326163900357125,-0.017282770932763696,0.02936401010702665,0.013381412835752657,-0.010254963620089794,0.03877423145678559,0.0023056335182071322,0.04859123033176474,0.04610827507795082,-0.004447130001093813,7.605188067989184e-05,0.0018842591176316747,0.030015820095378266,-0.003317419933585614,-0.002548257485283615,-0.007791690245321952,0.045612385192983065,0.006314079539263515,-0.0004937897762927384,0.35562207628497505,-0.00883846776411356,0.0551256668257315,0.0013410949634192117,-0.0031843493607850875,0.44718266473952534,0.04014845687921822,0.0836951483974722,-0.05359971064259322,0.042488149355456785,0.35848012704499027,-0.018138494781086974
