,phase,diff_combat_score,diff_workers,diff_sq,diff_epm,diff_income,tech_diff,army_supply_ratio_diff,income_per_worker_diff,counter_advantage_p1,counter_advantage_p2,counter_advantage_diff,p1_combat,p1_workers,p1_sq,p1_epm,p1_scout,p1_army_entropy,p1_num_unit_types,p1_tech_level,p1_army_supply_ratio,p1_recent_losses,p1_worker_growth_ratio,p1_income_per_worker,p1_army_to_worker_ratio,p2_combat,p2_workers,p2_sq,p2_epm,p2_scout,p2_army_entropy,p2_num_unit_types,p2_tech_level,p2_army_supply_ratio,p2_recent_losses,p2_worker_growth_ratio,p2_income_per_worker,p2_army_to_worker_ratio,delta_combat_p1,delta_combat_p2,delta_workers_p1,delta_workers_p2,delta_sq_p1,delta_sq_p2,economic_momentum_15,combat_momentum_15,sq_momentum_15,income_momentum_15,diff_workers_60s,diff_combat_60s,diff_sq_60s,diff_income_60s,counter_advantage_diff_60s,diff_workers_120s,diff_combat_120s,diff_sq_120s,diff_income_120s,counter_advantage_diff_120s,diff_workers_vol_120,diff_combat_vol_120,diff_sq_vol_120,diff_income_vol_120,counter_advantage_vol_120,loss_trade_ratio
phase,1.0,0.08423748643480154,-0.04695428321893348,0.013597475970436647,-0.039496360324664595,-0.007461826199701987,0.03285196696213484,0.027108690855462546,0.02790431129423314,0.10111992355677586,0.09478190846734909,0.006243559412407728,0.6679950089263071,0.7376243153424734,0.4581988163295641,0.06539010586145247,0.6638217020829268,0.6477998830541646,0.6574951318634762,0.7053238377055923,0.6849262065106465,0.2655931897442738,-0.20365812848111814,-0.04514083968263276,0.6418226044649464,0.6589936662626523,0.7556037239932014,0.45236064101374834,0.10576905017771657,0.6650845638630347,0.6106544843227178,0.6402224165078552,0.6875046639093446,0.6651887998200896,0.2579106672859107,-0.17439820289679056,-0.07550717529159877,0.6124887472564874,0.06665820246832474,0.036792443157087,-0.07853071169600145,-0.03325741209483627,-0.020640593124544974,-0.009263112955764784,-0.035599944170410465,0.029279005784289294,-0.008514365703476516,-0.009331959092156181,-0.056972037961676374,0.07114944096958732,-0.01872716016763424,-0.0075160966015066465,-0.018708795102207288,-0.07685608190236208,0.08527710593169412,-0.030772399928381607,-0.03185016779779371,-0.02433577385307035,0.3806968972952421,0.6561361741183309,-0.22538343297118346,0.5055221277505889,-0.0935231849373649,0.2083287604253936
diff_combat_score,0.08423748643480154,1.0,-0.09041037138641403,0.07635581969804764,-0.04230158213860529,-0.07469960474023961,0.07666114667254649,0.7349903319431556,-0.0036290604881971562,-0.009810713283115217,-0.13103098698008142,0.08271609560834031,0.469836580088792,0.035087412023529094,0.06251943489837428,0.007542092159233928,0.10173663776328629,0.13751046478541257,0.22063693014108546,0.045229226449146794,0.3687672142284438,0.03492572343584903,-0.0065595367779911085,0.020958313523513683,0.4499594219815919,-0.2828242537836624,0.06828143946134303,-0.005422579516273386,0.055721746010997095,0.07209301670171225,-0.06823482606422383,-0.12192863701312526,-0.02242311530696303,-0.28248779912868605,0.12052635158418969,-0.026570221116963735,0.02463059011359595,-0.3135922254669801,0.14545557842759702,-0.11829415994242137,-0.016382683974152684,-0.023044402991101328,-0.01309923910197869,-0.0027886707295598297,0.004600839743642158,0.2237079472223928,-0.007607245662433408,-0.004360684031488427,-0.030974560425563662,0.4327554979022802,-0.007403162442889692,-0.017076242710698134,-0.01562665702183181,-0.0662703138588489,0.5877845890628332,0.004352762090892135,-0.041048725776386796,-0.01841958366730799,-0.008416227800789494,0.08625099870166715,0.05279817572669426,0.06708530650107207,-0.06648164177458402,0.10749753021419764
diff_workers,-0.04695428321893348,-0.09041037138641403,1.0,0.2617096427808635,0.06990949685962355,0.632924500009385,-0.22460638028843113,-0.317002719066913,-0.2530216412279164,0.009059419378709986,0.06389789459809976,-0.037332442017405564,-0.052911827148372434,0.18599018651269658,0.15581243061440037,0.0666002272078057,-0.010791139307840066,-0.09484204647377988,-0.15241313144517718,-0.12867788488955992,-0.14470269143049144,0.17998392770731347,0.12594326098639802,-0.08833322821615723,-0.1620466172500691,0.014233289829452886,-0.18056756956421371,-0.07787777702812898,-0.019264563687708784,-0.11346338640015938,-0.004745660237394054,0.03520895145292416,0.06959646484044296,0.13627635837915894,-0.08655428368786265,-0.1038443029582857,0.19614860849932805,0.14574964131622736,-0.05460109928452762,0.029949905239512364,0.16460743563191416,-0.14288490425242384,0.0029566314918426768,0.010404118068063916,0.23337713687302722,-0.07234171280857374,-0.00525404642498984,0.09002591439263069,0.4561098030064501,-0.13501590195168042,0.026036490929173865,0.22071146270282455,-0.017476610898155272,0.6094083973906416,-0.15646896259136092,0.05490360349131007,0.35199593987795863,-0.011543789724569598,0.10068024076218564,0.046217347285663714,0.0034412368834795854,0.026853684228719255,0.07600454535561604,-0.1817776312558279
diff_sq,0.013597475970436647,0.07635581969804764,0.2617096427808635,1.0,0.05963505013472093,0.46579667017033227,-0.0055578165830623165,0.06232434741774791,0.2653079572732645,0.039669746356140935,-0.027127426389861552,0.046430837554531604,0.03590710792183001,0.05969937352973659,0.459844896263526,0.025914144215920736,0.02601326910690947,0.023075038084553585,0.02825766973625833,0.01770300832883091,0.05161989531409553,0.04954144065747851,0.01906889285791306,0.13558943278741034,0.029819836514185637,-0.021560126460522782,-0.03622098296390196,-0.4349899297352553,-0.044892366906075405,-0.010863627529578007,-0.003104186011760689,-0.0148414448093718,0.022949443515247244,-0.0034741932904305576,-0.048524584466082384,-0.03236437104800706,-0.1634951663226041,0.002104725696494774,0.029029596396879288,-0.011393951805692542,0.03192257653428639,-0.03459820808838816,0.35266752638768184,-0.328601263035624,0.05040306813342181,0.03481638639221341,0.49270310989601906,0.18006534029376056,0.16684241526304763,0.03690856927115212,0.6311621344279608,0.3265309246200784,0.020055573295048097,0.21314777137662008,0.06239762328917133,0.6613093800149226,0.38928054256407163,0.03567890016289117,0.07135589465755686,0.03768066212464584,0.02890241841948441,0.05734096085611042,0.018393466206196887,-0.058759442785215596
diff_epm,-0.039496360324664595,-0.04230158213860529,0.06990949685962355,0.05963505013472093,1.0,0.09751894660244202,-0.10918008138157753,0.029531115242552586,0.017898478744707118,-0.0011422709931148422,0.018542767916541903,-0.013483963129581937,-0.08879121169791472,-0.045434510520395176,-0.03847724654266124,0.5545299753977659,-0.021345974265470313,-0.0664277048440654,-0.10168254469120669,-0.06520138397388654,-0.05829814770010291,0.08694370916083209,0.01974315458712111,-0.03499135687335808,-0.07182880347992036,-0.06291843160018606,-0.07112050658542558,-0.0927636704272873,-0.6422713929789983,-0.06198924850649083,-0.017495995807775534,-0.015253017836013282,0.031135634946634183,-0.08493132108742246,-0.17921005593280537,0.007877496230722463,-0.054358208402316976,-0.07826430159091953,-0.013671923250323773,0.012993733249829434,0.03912337780144146,0.010759915495003658,0.016281726753721804,-0.014919937038921157,0.02207325153534671,-0.022536024174668615,0.02256799580540818,0.038993958791421465,0.016742110948781412,-0.016655178467472626,0.026464798200982596,0.02067263071231817,0.005639886582586883,-0.0006781414027501565,-0.018319541090330946,0.0437904379339435,0.038208644509201,-0.006468675932291938,-0.009222108888846453,-0.06979658741126596,-0.012482035655014385,-0.018940997189196677,-0.0004099039321905689,-0.18172957443667292
diff_income,-0.007461826199701987,-0.07469960474023961,0.632924500009385,0.46579667017033227,0.09751894660244202,1.0,-0.1288667224456405,-0.1467025250074238,0.5218279180736449,0.03294912305730143,0.03443245368943098,-0.0003923842532359825,-0.04958849629553228,0.11836657037911015,0.24010953625462422,0.05873933112049089,0.02454826435257539,-0.04801970838571068,-0.09314673528025866,-0.05861924153772826,-0.0807896103576623,0.1120970577469009,0.035018260448807556,0.3209370593624712,-0.10171248575590044,0.005380434356877286,-0.11363614651320003,-0.17633861268490364,-0.0583394823479637,-0.06495394829772788,0.00490619584648434,0.010277786451863481,0.055387333038771636,0.04915368628113964,-0.13870878680298565,0.004682432907265492,-0.2683212499850498,0.057254614146255586,-0.006870691604318208,0.016778538794315633,0.05460378469509145,-0.0015243457684812407,0.07199371912768097,-0.04286478815717209,0.0431598596915434,-0.01957344950589988,0.08331033993053073,0.31984041824348164,0.2620785658297122,-0.06568750622633367,0.18282171528970392,0.5811254327919264,0.0011976747747219163,0.3805850849609831,-0.06778998863408316,0.25245025871763876,0.7012417891604196,0.02133042697576589,0.07433868534418096,0.009091340865415966,0.015684586221246997,0.01290459520104727,0.05571961822189364,-0.15460071872889383
tech_diff,0.03285196696213484,0.07666114667254649,-0.22460638028843113,-0.0055578165830623165,-0.10918008138157753,-0.1288667224456405,1.0,0.08440301835211658,0.0667586751442996,-0.03544940867032214,0.025507116176550004,-0.042356801545980094,0.054013820174742204,0.047301421285689524,0.07119968640069685,-0.057519295050057366,0.03519705286166265,0.19993281647509548,0.22842347516476103,0.4570100457152771,0.06356458030966447,-0.1691234247794535,0.0004362062341403273,0.024467861442940983,0.032130500979167954,-0.002128175710003517,0.1297242853141575,0.07720592866702489,0.07290885149159093,0.0390045751214589,-0.17280777276086393,-0.17443268233749107,-0.42764122266251364,-0.011087288128512791,0.16997639083119898,-0.03539066693316041,-0.05061277466078184,0.01160204148051082,0.05885620655414324,-0.035220277029064134,-0.002234831562141332,-0.022758135470390965,0.014916162848050423,0.005362626570209659,0.015274860714111091,0.0803425547547359,0.0071025772989524024,-0.02210076447178007,0.00810110737064298,0.1401168315418733,0.038376627098919494,-0.028007016375941978,-0.030181174850105345,-0.04930752193534098,0.15131630202080723,0.031686461375757466,-0.06003322788179607,-0.014447142017142946,-0.0011840343218129715,0.02166675035372404,-0.056500083974742495,0.005697220250255065,0.01209836647654418,0.23868044369419142
army_supply_ratio_diff,0.027108690855462546,0.7349903319431556,-0.317002719066913,0.06232434741774791,0.029531115242552586,-0.1467025250074238,0.08440301835211658,1.0,0.15080746216440158,0.1269311905808073,-0.23591532953732386,0.2505433969496292,0.2945765892562145,-0.07713585329640618,0.0034010492246406687,0.045198483109439934,0.03357076833351114,0.12350036041822254,0.23807247092014774,0.019152329355486133,0.4489695683621687,0.0728988919252143,0.02006045024759568,0.06813522340515418,0.4641817798326977,-0.2630150729613706,0.03904524971109373,-0.05272268206753384,0.007580506334260913,0.03866680712335556,-0.109224511106967,-0.19400983706619734,-0.05583122063773055,-0.43743993113991825,-0.013150113317888575,-0.0013718266788665127,-0.10170763112732047,-0.4412005036146363,0.12324001600870925,-0.1535109443253766,-0.007431497140448078,0.01563118576269017,-0.006067251049647562,-0.006013114951480034,-0.0173917205338755,0.2324240971044526,-0.0001562498016104633,-0.023489166287516013,-0.13665967405370882,0.42244748400902293,0.015328279066273732,-0.07646264611817159,0.0186911866421541,-0.22197610640032842,0.5447533072285983,-0.006834702790028219,-0.11787538309563456,0.05269311139044598,-0.05645100723041952,-0.013326469574703596,0.07598009369959642,-0.005278006397045377,-0.08432612931273556,-0.03444730913394517
income_per_worker_diff,0.02790431129423314,-0.0036290604881971562,-0.2530216412279164,0.2653079572732645,0.017898478744707118,0.5218279180736449,0.0667586751442996,0.15080746216440158,1.0,0.04941095602195137,-0.023798025767219587,0.05099971407681793,-0.010903402785182611,-0.05097757885821341,0.12277177300670093,-0.0034006173332328618,0.0400234560623395,0.0415169268521354,0.05210517476589215,0.04773342719195736,0.0560971744265332,-0.06632331201411108,-0.09743329175719694,0.5528427980729695,0.045353162202464006,-0.008968234195874475,0.04176543479072277,-0.11462422555493827,-0.02376967080822598,0.0339685967261661,0.004197729681998612,-0.032906561267654615,-0.011044184518797018,-0.07765406627648339,-0.05205854640202448,0.11762613743801169,-0.5752352528939059,-0.0753331209024212,0.043628609775091094,-0.005816644978409306,-0.088012836625731,0.13408520129866416,0.0942609178895857,-0.073577673095211,-0.16786085946690532,0.04322536608765001,0.12152625362982027,0.3112992219723117,-0.1188886101720413,0.045973312246292655,0.1888665612833877,0.4806988787783763,0.030122171400303394,-0.15652852904864326,0.05591350948114139,0.23505568734322374,0.47233401035220884,0.05574700724154916,-0.02395957207322012,-0.03549792631034711,0.0030975962726537427,-0.024800493951732287,-0.018987437083497267,0.018316915073863897
counter_advantage_p1,0.10111992355677586,-0.009810713283115217,0.009059419378709986,0.039669746356140935,-0.0011422709931148422,0.03294912305730143,-0.03544940867032214,0.1269311905808073,0.04941095602195137,1.0,-0.03995959084128308,0.7300969166811011,0.015094672204724944,0.057217781046540586,0.07091420192927225,0.026220346806502915,0.1062722781650432,0.16093268938647484,0.1849141102319802,0.1766978611174927,0.15493123441523682,0.0013127390836624793,0.050191221678777535,0.0684765078781156,0.08616611688256677,0.0241845598003013,0.05395412017509025,0.036153984928451934,0.025467728841900142,0.057752627526794525,0.22803579631025953,0.1643370302799789,0.21120004284236787,0.04304307081209026,-0.07704061446540418,0.022600856579070416,0.011981472812805488,-0.0030240351202662245,0.02624441600279968,0.006824256597017015,0.059012725149947466,0.034329383629344255,-0.012303071049026925,-0.002202045928239,0.019778947646360432,0.01769366381785452,-0.007442366959972539,0.0045974805489779145,0.025732423215439226,0.01973151300662571,0.03393544338108448,0.023176681509264444,0.3552719228872251,0.018116599408541698,0.01816321725556526,0.02608267134981045,0.015732965642294327,0.45493618105131295,0.0264074622788949,0.07682489203166568,-0.03536092773017933,0.005661161818947888,0.33076638818830956,-0.08563265849855466
