epoch,train_loss,val_loss
1,0.636366454561196,0.6282562613487244
2,0.6294032600250142,0.626872718334198
3,0.6271912867140045,0.6257547736167908
4,0.6255958116011884,0.6238676309585571
5,0.6245314687330522,0.6247971057891846
6,0.6231890615602299,0.6249390840530396
7,0.6223957790778234,0.6239848136901855
8,0.6214455037722647,0.6245183348655701
9,0.620226076495882,0.6233474612236023
10,0.6197832830796728,0.6234402656555176
11,0.6187787102885238,0.6241124272346497
12,0.6180120046002281,0.6236321330070496
13,0.6175377054376551,0.6231549382209778
14,0.6170226251823104,0.6232089400291443
15,0.6161914471010402,0.6239479780197144
16,0.6157282582335907,0.6237162947654724
17,0.6152043843738508,0.6244286894798279
18,0.6146906139279095,0.6249748468399048
19,0.6126721380328449,0.6250416040420532
20,0.6122078123587402,0.624251663684845
21,0.6120992718207815,0.6248401403427124
22,0.6116165116775868,0.6244133710861206
23,0.6115801786480735,0.6239659190177917
24,0.6104386350763079,0.6244962811470032
25,0.6100699630214405,0.6241560578346252
